OBJECTID_12,FID_Parks,objectid_1,objectid,acreage,sqft,final_cat,type_,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_us,created_da,last_edite,last_edi_1,maintenanc,dpw_ac,GlobalID_2,Shape__Are,Shape__Len,FID_Neighborhood,FID_BlockG,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng_1,FID_Neighb,AREA,PERIMETER,NEIGHBOR_,NEIGHBOR_I,HOOD,HOOD_NO,ACRES,SQMILES,DPWDIV,UNIQUE_ID,SECTORS,Shape_Le_1,Shape_Ar_1,Shape_Le_2,Page_Numbe,Shape_Length,Shape_Area
65,58,60,203,0.200555260000000,8736.152117300000100,Neighborhood Park,NP,1,Lookout St Parklet,Lookout Street Park,Lookout Street Park,Northern,732.172116569999957,cf15f763-5076-4f31-875f-93d14fdd8a03,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,Parks - Northern,0.20055525854017,6cfc40b2-bc83-43dc-90cf-629fbcf2be9b,1403.988281250000000,147.679409810256999,28,61,42,003,240600,2,420032406002,Block Group 2,G5030,S,495750.000000000000000,0.000000000000000,+40.4611811,-079.9859947,14534.378599199999371,20,10717292.000000000000000,20630.793000000001484,21,2103,Troy Hill,84,247.169999999999987,0.384000000000000,1,94,1,20630.793160099998204,10717291.895899999886751,29583.620672199998808,0,0.001178454943095,0.000000086191689
66,59,61,42,0.280366240000000,12212.704518709999320,Neighborhood Park,NP,2,Cross & Strauss Parklet,Cross and Strauss Park,Cross and Strauss Park,Northern,474.712868300000025,f9c675a5-8da5-4e06-a308-2cf81ad5cc8f,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,Parks - Northern,0.280366238973166,6754df19-08a3-4628-a93f-4bdd6fb13995,1962.445312500000000,180.872290967483991,7,8,42,003,261500,1,420032615001,Block Group 1,G5030,S,350522.000000000000000,0.000000000000000,+40.4733966,-080.0097343,8208.504810270000235,13,25220622.000000000000000,26399.697000000000116,14,2096,Perry South,62,581.655999999999949,0.905000000000000,1,21,2,26399.698533300001145,25220621.169700000435114,26324.223645999998553,0,0.001389408218017,0.000000120484054
67,60,62,52,0.470285090000000,20485.536464280001383,Neighborhood Park,NP,4,East Carnegie Parklet,East Carnegie Park,East Carnegie Park,Western,573.249426500000027,dc099b67-b6ee-46da-bb87-4a7086b3c33a,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,Parks - Western,0.470285087389201,90137589-e4ea-446b-8937-0b82e351a91d,3286.917968750000000,229.619917532940008,80,325,42,003,562800,1,420035628001,Block Group 1,G5030,S,1122222.000000000000000,0.000000000000000,+40.4202222,-080.0745718,18432.542809899998247,77,12049543.000000000000000,18475.563999999998487,78,2160,East Carnegie,27,277.894999999999982,0.432000000000000,5,94,4,18475.563056300001335,12049542.732300000265241,18432.542998400000215,0,0.001833671803101,0.000000201950096
68,61,63,213,1.598464790000000,69628.847940940002445,Community Park,CP,2,Garvin Park,Garvin Park,Garvin Park,Northern,1257.129053440000007,ab7d15a3-5b0e-443c-bf14-dcd01d68da59,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,Parks - Northern,1.59846479470087,060e21d0-df3f-43d1-9922-01730626d5e7,11197.722656250000000,462.991312188319000,10,12,42,003,260700,2,420032607002,Block Group 2,G5030,S,301991.000000000000000,0.000000000000000,+40.4818975,-080.0108700,11322.837265000000116,2,33781248.000000000000000,30858.815999999998894,3,2085,Perry North,61,779.087999999999965,1.212000000000000,1,18,2,30858.817772999998851,33781247.392399996519089,30830.126842800000304,0,0.003697633826982,0.000000687196073
69,62,64,220,0.513368860000000,22362.258118530000502,Special Use Park,SU, , ,West End Healthy Active Living Center, , ,0.000000000000000, ,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,Parks - Western,0.513368860602208,9b2c0a9e-2461-4237-bf6d-adf022e18cfb,3590.585937500000000,292.908594979001009,88,32,42,003,562600,1,420035626001,Block Group 1,G5030,S,512433.000000000000000,0.000000000000000,+40.4408830,-080.0357065,18778.991280300000653,59,5579501.000000000000000,18776.655999999999040,60,2142,West End,87,128.679000000000002,0.200000000000000,5,81,4,18776.656621900001483,5579501.106800000183284,18778.991513000000850,0,0.002291176046229,0.000000220529013
70,63,65,73,3.426068960000000,149238.966763820004417,Neighborhood Park,NP,1,Gardner Field,Gardner Park,Gardner Park,Northern,1857.623226559999921,62e2d7c6-aeec-4aef-83a6-3fd1f4dcb8ee,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,Parks - Northern,3.42606895595675,52308294-6caa-4b7b-bdb1-6f30cb8f7906,23978.804687500000000,744.821627789134027,27,59,42,003,241200,2,420032412002,Block Group 2,G5030,S,172183.000000000000000,0.000000000000000,+40.4600565,-079.9915198,7283.454921280000235,14,7653279.500000000000000,21452.690999999998894,15,2097,Spring Garden,74,176.506000000000000,0.275000000000000,1,18,1,21452.691884600000776,7653278.966629999689758,21430.368059100001119,0,0.004397815341216,0.000000510702443
71,63,65,73,3.426068960000000,149238.966763820004417,Neighborhood Park,NP,1,Gardner Field,Gardner Park,Gardner Park,Northern,1857.623226559999921,62e2d7c6-aeec-4aef-83a6-3fd1f4dcb8ee,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,Parks - Northern,3.42606895595675,52308294-6caa-4b7b-bdb1-6f30cb8f7906,23978.804687500000000,744.821627789134027,28,61,42,003,240600,2,420032406002,Block Group 2,G5030,S,495750.000000000000000,0.000000000000000,+40.4611811,-079.9859947,14534.378599199999371,20,10717292.000000000000000,20630.793000000001484,21,2103,Troy Hill,84,247.169999999999987,0.384000000000000,1,94,1,20630.793160099998204,10717291.895899999886751,29583.620672199998808,0,0.004775073968784,0.000000961536534
72,64,66,137,0.262025010000000,11413.763840010000422,Neighborhood Park,NP,12,Nelson Mandela Peace Park,Nelson Mandela Peace Park,Nelson Mandela Peace Park,Northeast,380.745855989999995,35047ae7-12cb-4117-a56d-9651d14ca53e,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,Parks - Northeast,0.26202501137181,3fb15e37-32e8-4ae6-b733-606cfed28acd,1834.136718750000000,172.497314777716014,38,86,42,003,101700,2,420031017002,Block Group 2,G5030,S,217979.000000000000000,0.000000000000000,+40.4672423,-079.9433700,6586.683658320000177,17,12751163.000000000000000,14574.326999999999316,18,2100,Garfield,35,294.076999999999998,0.457000000000000,2,113,12,14574.326686599999448,12751163.309800000861287,14577.441571200000908,0,0.001385062231130,0.000000112603707
73,65,67,219,0.056405720000000,2457.023445159999937,Regional Park,RP, , ,Emerald View Park - Shiloh Street Park, , ,0.000000000000000, ,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,Parks - Western,5.64057225270754E-02,d44505d5-2e91-435f-871f-93d4ef22af45,394.425781250000000,80.756189226867306,23,45,42,003,180700,2,420031807002,Block Group 2,G5030,S,128061.000000000000000,0.000000000000000,+40.4247086,-080.0011285,5547.088803720000215,64,31760998.000000000000000,33988.883000000001630,65,2147,Mount Washington,54,732.495000000000005,1.139000000000000,5,25,6,33988.882268900000781,31760998.035100001841784,34003.524912000000768,0,0.000649974829860,0.000000024227578
74,66,68,147,0.090021870000000,3921.336880299999848,Beautification Site,BTF,14,Parkview Islands,Parkview Islands,Parkview Islands,Schenley,1353.959973089999949,1f683a5a-8c27-4cdf-b2cb-5d8ac86be602,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,3rd Division,9.00218678993007E-02,831e19a2-c027-4d0d-b3d9-23553a1b2407,629.593750000000000,543.372449584443984,0,0,42,003,040500,1,420030405001,Block Group 1,G5030,S,268195.000000000000000,0.000000000000000,+40.4406805,-079.9542332,7988.379391460000079,62,7843108.000000000000000,11526.862999999999374,63,2145,Central Oakland,20,180.883000000000010,0.281000000000000,3,113,14,11526.863221899999189,7843108.221909999847412,11525.904546399999163,0,0.003831791391623,0.000000038669008
